accuracy,auc,loss,precision,accuracy_3,precision_3,recall_3,f1_3,accuracy_5,precision_5,recall_5,f1_5,accuracy_7,precision_7,recall_7,f1_7,duration
0.499378, 0.695725, 0.690961, 0.807455, 0.511508, 0.511508, 1.000000, 0.676818, 0.499378, 0.807455, 0.027944, 0.054019, 0.488492, nan, 0.000000, nan, 671
0.731419, 0.822497, 0.531418, 0.723244, 0.670469, 0.625799, 0.884895, 0.733128, 0.731419, 0.723244, 0.769305, 0.745563, 0.749410, 0.849272, 0.620161, 0.716855, 695
0.742388, 0.834156, 0.486231, 0.746574, 0.674407, 0.628759, 0.887439, 0.736032, 0.742388, 0.746574, 0.751449, 0.749003, 0.761706, 0.914793, 0.588996, 0.716602, 693
0.768573, 0.842312, 0.459388, 0.844584, 0.694977, 0.651710, 0.867052, 0.744115, 0.768573, 0.844584, 0.671041, 0.747877, 0.760441, 0.973654, 0.546447, 0.700020, 693
0.774562, 0.843279, 0.456779, 0.852386, 0.682383, 0.637457, 0.878938, 0.738970, 0.774562, 0.852386, 0.676406, 0.754267, 0.762662, 0.980018, 0.547159, 0.702244, 693
0.776560, 0.848028, 0.447567, 0.846669, 0.705655, 0.663537, 0.861296, 0.749593, 0.776560, 0.846669, 0.687718, 0.758960, 0.766685, 0.974480, 0.558493, 0.710046, 714
0.778669, 0.849576, 0.445281, 0.857123, 0.714153, 0.674405, 0.852973, 0.753251, 0.778669, 0.857123, 0.680778, 0.758840, 0.764471, 0.978077, 0.551910, 0.705640, 674
0.761467, 0.847479, 0.465380, 0.769831, 0.652100, 0.605115, 0.920651, 0.730256, 0.761467, 0.769831, 0.761280, 0.765531, 0.764528, 0.965483, 0.559659, 0.708578, 672
0.777160, 0.849496, 0.445344, 0.839305, 0.708108, 0.666273, 0.860224, 0.750927, 0.777160, 0.839305, 0.697984, 0.762149, 0.766296, 0.977698, 0.555784, 0.708700, 687
0.778689, 0.850162, 0.441797, 0.910296, 0.735933, 0.707120, 0.825772, 0.761854, 0.778689, 0.910296, 0.629355, 0.744194, 0.764291, 0.983232, 0.548543, 0.704209, 693
0.779982, 0.849580, 0.441804, 0.854830, 0.714363, 0.674667, 0.852818, 0.753353, 0.779982, 0.854830, 0.686437, 0.761434, 0.770619, 0.975488, 0.565775, 0.716175, 699
0.782325, 0.851964, 0.437498, 0.872989, 0.730638, 0.696800, 0.838067, 0.760932, 0.782325, 0.872989, 0.672251, 0.759581, 0.769533, 0.978559, 0.561745, 0.713756, 667
0.782610, 0.854311, 0.439656, 0.828346, 0.708397, 0.664826, 0.867030, 0.752583, 0.782610, 0.828346, 0.725302, 0.773407, 0.773579, 0.966616, 0.577283, 0.722860, 668
0.772073, 0.848509, 0.455552, 0.947126, 0.737997, 0.710447, 0.823352, 0.762744, 0.772073, 0.947126, 0.587181, 0.724932, 0.744821, 0.987393, 0.507604, 0.670510, 732
0.783973, 0.854247, 0.435670, 0.893211, 0.729298, 0.693521, 0.843561, 0.761218, 0.783973, 0.893211, 0.656108, 0.756517, 0.768992, 0.977799, 0.561118, 0.713048, 734
0.785277, 0.855867, 0.432279, 0.872946, 0.732120, 0.696494, 0.844135, 0.763240, 0.785277, 0.872946, 0.679048, 0.763884, 0.772141, 0.977127, 0.567826, 0.718259, 985
0.784751, 0.856689, 0.432732, 0.865162, 0.734097, 0.697579, 0.847631, 0.765319, 0.784751, 0.865162, 0.686121, 0.765309, 0.773672, 0.976287, 0.571407, 0.720888, 883
0.785764, 0.857776, 0.429631, 0.910260, 0.758191, 0.737581, 0.818454, 0.775916, 0.785764, 0.910260, 0.644729, 0.754823, 0.771631, 0.979951, 0.565099, 0.716831, 741
0.787268, 0.859532, 0.428458, 0.876816, 0.736208, 0.699069, 0.850331, 0.767317, 0.787268, 0.876816, 0.679582, 0.765702, 0.774152, 0.976260, 0.572386, 0.721659, 1037
